!Sample_title	"DU145N 2h noHGF"	"DU145N 2h withHGF"	"DU145N 8h noHGF"	"DU145N 8h withHGF"	"DU145N 24h noHGF"	"DU145N 24h withHGF"
"1007_s_at"	8.71	8.98	8.93	9.66	8.79	9.49
"1053_at"	8.96	8.77	8.54	9.13	8.15	8.73
"117_at"	3.88	4.49	4.05	4.60	3.91	4.43
"121_at"	6.23	6.29	6.37	5.83	5.89	6.14
"1255_g_at"	3.32	3.20	1.26	2.77	1.89	3.32
"1294_at"	4.22	3.85	4.33	3.82	3.07	4.29
"1316_at"	4.09	4.21	4.57	4.38	3.77	4.04
"1320_at"	4.52	4.28	4.05	4.31	3.12	4.94
"1405_i_at"	2.10	1.89	3.71	2.38	1.07	2.77
"1431_at"	1.38	2.87	2.49	2.96	2.58	2.17
"1438_at"	2.29	3.94	4.48	2.81	3.09	3.98
"1487_at"	7.43	7.67	7.59	8.49	7.35	8.00
"1494_f_at"	4.85	4.22	3.80	4.58	4.55	4.91
"1552256_a_at"	8.78	8.60	8.93	9.41	8.69	8.59
"1552257_a_at"	8.87	8.80	8.88	9.35	8.69	8.95
"1552258_at"	3.34	3.41	4.83	3.50	4.08	1.58
"1552261_at"	4.14	3.29	4.80	2.17	2.83	0.68
"1552263_at"	5.36	6.07	5.70	5.39	5.50	5.93
"1552264_a_at"	8.12	7.94	7.96	7.39	6.92	7.29
"1552266_at"	3.41	2.56	3.02	3.80	3.22	3.49
"1552269_at"	3.54	2.98	4.41	1.63	3.50	3.52
"1552271_at"	2.26	1.20	2.43	3.35	1.49	1.32
"1552272_a_at"	4.67	5.12	4.41	5.49	4.44	4.77
"1552274_at"	5.61	5.84	5.76	4.16	4.55	5.14
"1552275_s_at"	5.35	4.38	5.36	1.63	3.54	4.20
"1552276_a_at"	5.01	5.39	4.96	4.66	4.88	3.70
"1552277_a_at"	9.10	9.08	9.12	8.99	8.41	9.29
"1552278_a_at"	5.34	5.47	5.46	5.64	4.99	5.09
"1552279_a_at"	6.85	6.53	6.65	6.83	6.29	6.46
"1552280_at"	0.26	1.58	0.85	3.15	3.09	2.96
"1552281_at"	4.07	3.26	4.07	4.61	4.73	4.52
"1552283_s_at"	4.85	4.73	5.38	4.11	4.67	4.31
"1552286_at"	7.08	7.15	6.90	6.62	6.93	6.99
"1552287_s_at"	7.13	7.51	7.92	6.34	6.52	6.53
